NOI400.0,GPA.180,RC0.85,RC273.81,XR0.99,XR274.46,RCAA-0.10,XR+0.04,RCWIN-0.01,XRWIN0.00,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
3.00,0.400,3.33,10.00,0.000,-,0.667,0.833,0.00,40.0%,
