HQS率-,SQS率-,被打率.200,被BABIP.257,被出塁率.231,被長打率.280,K/BB8.33,K/98.04,BB/90.96,HR/90.32,GO/AO0.69,援護率-,IPR3.11,NHB%53.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.77,66.4%,1.16,0.14,1.25,194,4.0,0,0,28.0,9,16,26,
