種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,3.44,19,0,19,0,2,7,0,7,0,0,2,18.1,14,1,20,1,1,7,7,0.82,0.209,-,2.62
Visitor,0.93,11,0,11,0,0,4,0,4,0,0,0,9.2,6,0,5,2,0,2,1,0.83,0.182,-,4.83
