NOI421.4,GPA.226,RC34.83,RC273.81,XR35.49,XR273.88,RCAA2.14,XR+2.62,RCWIN0.25,XRWIN0.31,BABIP.285
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.40,0.038,21.50,8.60,0.102,104.33,0.153,0.568,0.00,17.2%,
