HQS率-,SQS率-,被打率.289,被BABIP.310,被出塁率.360,被長打率.474,K/BB1.88,K/96.86,BB/93.66,HR/91.83,GO/AO1.00,援護率-,IPR1.40,NHB%19.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.23,66.9%,-6.69,-0.77,-7.36,129,7.2,0,0,19.2,14,4,12,
