NOI340.3,GPA.161,RC-0.05,RC27-0.10,XR0.15,XR270.31,RCAA-1.62,XR+-1.45,RCWIN-0.19,XRWIN-0.17,BABIP.125
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
1.00,0.229,4.00,4.00,0.000,-,0.250,0.308,-,50.0%,
