NOI253.8,GPA.128,RC0.22,RC270.31,XR0.41,XR270.58,RCAA-2.06,XR+-1.89,RCWIN-0.24,XRWIN-0.22,BABIP.214
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.072,12.00,3.00,-0.000,-,0.091,0.263,-,41.7%,
