HQS率-,SQS率-,被打率.246,被BABIP.280,被出塁率.283,被長打率.364,K/BB3.43,K/96.42,BB/91.87,HR/90.80,GO/AO1.06,援護率-,IPR4.81,NHB%21.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.13,91.2%,5.22,0.61,4.12,111,5.1,0,0,33.2,7,5,19,
