NOI425.3,GPA.232,RC11.34,RC274.08,XR11.40,XR274.10,RCAA1.45,XR+1.47,RCWIN0.17,XRWIN0.17,BABIP.262
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.19,0.067,20.80,4.00,0.189,23.75,0.242,0.640,0.00,33.7%,
