球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,163,43.5%,148.3,27,27,30,48,51.5%,30.7%,.205,44,9,2,13,3,1
チェンジアップ,38,10.1%,132.0,5,5,8,14,47.4%,26.3%,.111,9,1,0,3,0,0
スライダー,35,9.3%,130.4,4,8,5,11,48.6%,25.0%,.333,9,3,1,2,1,1
カットボール,31,8.3%,137.4,6,4,4,8,45.2%,31.6%,.333,12,4,0,3,0,0
フォーク,26,6.9%,136.6,4,4,4,12,46.2%,40.0%,.000,4,0,0,2,0,1
カーブ,25,6.7%,117.0,1,4,2,14,28.0%,14.3%,.000,4,0,0,0,1,0
スプリット,20,5.3%,139.2,4,1,6,5,55.0%,28.6%,.167,6,1,0,2,0,0
シュート,12,3.2%,144.7,4,2,0,4,50.0%,66.7%,.333,3,1,1,1,0,0
ツーシーム,11,2.9%,139.8,0,2,4,4,54.5%,0.0%,.000,1,0,0,0,0,0
シンカー,6,1.6%,131.7,2,0,1,2,50.0%,50.0%,1.000,1,1,0,0,0,1
ナックルカーブ,5,1.3%,129.2,0,1,0,4,20.0%,-%,-,0,0,0,0,0,0
縦スライダー,1,0.3%,107.0,0,0,1,0,100.0%,0.0%,-,0,0,0,0,0,0
スラーブ,1,0.3%,123.0,0,0,0,0,0.0%,0.0%,1.000,1,1,0,0,0,0
スクリュー,1,0.3%,137.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
