NOI291.2,GPA.154,RC0.51,RC271.26,XR0.54,XR271.32,RCAA-0.82,XR+-0.80,RCWIN-0.10,XRWIN-0.09,BABIP.222
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.060,14.00,3.50,0.077,-,0.154,0.364,-,35.7%,
