アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,96,37.4%,安打,108,65.5%
フライ,89,34.6%,四死球,51,30.9%
空三振,54,21.0%,失策出塁,6,3.6%
見三振,17,6.6%,野選,0,0.0%
犠打,1,0.4%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
