左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
44.4% (128),44.4% (128),44.4% (128),24.7% (71),24.7% (71),24.7% (71),30.9% (89),30.9% (89),30.9% (89)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
36.7% (36),70.0% (7),47.2% (85),41.8% (41),0.0% (0),16.7% (30),21.4% (21),30.0% (3),36.1% (65)
