NOI518.7,GPA.275,RC59.94,RC275.99,XR59.77,XR275.98,RCAA18.40,XR+17.74,RCWIN2.13,XRWIN2.05,BABIP.340
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.63,0.082,9.38,5.94,0.124,36.40,0.247,0.776,0.00,29.9%,
