NOI121.2,GPA.064,RC-0.35,RC27-0.96,XR-0.26,XR27-0.70,RCAA-1.44,XR+-1.36,RCWIN-0.17,XRWIN-0.16,BABIP.167
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.20,0.000,-,0.091,0.200,0.00,45.5%,
