打率.266,試合124,打席491,打数462,得点51,安打123,内安21,内安率17.1,２Ｂ11,３Ｂ5,本塁6,HR勝敗3-3-0,塁打162,打点31,三振75
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
17,0,2,8,2,22,4,84.6,2,0,4,.252,.294,.351,.645
