打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,110,25,0.227,3,18,4,0,0,0.254
2打席目,109,25,0.229,0,15,2,1,1,0.241
3打席目,100,27,0.27,1,17,4,3,0,0.298
4打席目,87,25,0.287,1,17,8,3,0,0.347
5打席目以上,49,17,0.347,1,7,1,1,1,0.353
