NOI461.5,GPA.254,RC1.81,RC275.43,XR1.61,XR274.82,RCAA0.58,XR+0.36,RCWIN0.07,XRWIN0.04,BABIP.400
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,4.33,0.154,-,0.154,0.667,-,23.1%,
