アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,54,33.3%,安打,54,81.8%
フライ,60,37.0%,四死球,12,18.2%
空三振,30,18.5%,失策出塁,0,0.0%
見三振,16,9.9%,野選,0,0.0%
犠打,2,1.2%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
