球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,357,38.0%,141.9,12,89,83,118,51.5%,8.0%,.257,74,19,1,21,2,1
スライダー,281,29.9%,127.0,51,42,33,101,44.8%,37.0%,.236,72,17,3,19,4,0
シンカー,174,18.5%,136.6,19,24,30,57,42.0%,20.4%,.333,48,16,1,5,4,0
カットボール,119,12.7%,135.9,7,24,29,42,50.4%,13.2%,.111,18,2,0,1,1,0
カーブ,9,1.0%,116.6,0,3,1,5,44.4%,0.0%,-,0,0,0,0,0,0
