防御率2.95,試合12,先発11,救援1,連投(試)1,連投(日)1,勝利4,敗戦3,HLD1,Ｓ0,ＨＰ1,ＳＰ0,救勝0,救敗0,完投1,完封1,無四球1
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.571,55.0,228,940,17.1,54,5,46,11,0,1,0,0,19,18,1.18,27.3%
