HQS率0.0%,SQS率0.0%,被打率.255,被BABIP.301,被出塁率.292,被長打率.377,K/BB4.18,K/97.53,BB/91.80,HR/90.82,GO/AO0.90,援護率3.75,IPR99.00,NHB%100.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.93,79.7%,0.97,0.11,0.16,215,0.0,60,25,1.0,0,1,1,
