NOI332.1,GPA.170,RC2.56,RC271.65,XR2.63,XR271.69,RCAA-2.48,XR+-2.44,RCWIN-0.29,XRWIN-0.29,BABIP.280
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.31,0.078,13.25,4.08,0.026,-,0.132,0.387,-,32.1%,
