アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,0,0.0%,安打,6,85.7%
フライ,9,52.9%,四死球,0,0.0%
空三振,4,23.5%,失策出塁,1,14.3%
見三振,2,11.8%,野選,0,0.0%
犠打,2,11.8%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
