NOI378.8,GPA.202,RC1.92,RC272.88,XR1.81,XR272.72,RCAA-0.44,XR+-0.58,RCWIN-0.05,XRWIN-0.07,BABIP.375
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,4.00,0.045,-,0.045,0.438,-,25.0%,
