NOI480.6,GPA.261,RC64.36,RC275.33,XR63.40,XR275.25,RCAA19.12,XR+17.92,RCWIN2.25,XRWIN2.11,BABIP.360
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.26,0.064,12.86,3.31,0.183,25.35,0.274,0.737,7.73,41.6%,
