打率.267,試合123,打席476,打数431,得点50,安打115,内安11,内安率9.6,２Ｂ26,３Ｂ1,本塁17,HR勝敗11-4-0,塁打194,打点51,三振144
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
37,3,5,1,2,5,3,62.5,6,0,4,.177,.331,.450,.781
