NOI0.0,GPA.000,RC-0.21,RC27-2.81,XR-0.19,XR27-2.54,RCAA-0.40,XR+-0.39,RCWIN-0.05,XRWIN-0.04,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.00,0.000,-,0.000,0.000,-,50.0%,
