打率.241,試合86,打席241,打数216,得点30,安打52,内安11,内安率21.2,２Ｂ10,３Ｂ2,本塁3,HR勝敗2-1-0,塁打75,打点16,三振40
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
15,0,5,4,1,9,1,90.0,1,0,0,.268,.304,.347,.651
