打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,23,4,0.174,1,7,3,1,0,0.269
2打席目,22,2,0.091,0,6,2,0,0,0.167
3打席目,14,3,0.214,0,6,1,0,0,0.267
4打席目,4,1,0.25,0,2,0,0,1,0.2
5打席目以上,1,0,0.0,0,1,0,0,0,0.0
