左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
44.2% (19),44.2% (19),44.2% (19),27.9% (12),27.9% (12),27.9% (12),27.9% (12),27.9% (12),27.9% (12)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
55.6% (5),100.0% (1),39.4% (13),44.4% (4),0.0% (0),24.2% (8),0.0% (0),0.0% (0),36.4% (12)
