HQS率-,SQS率-,被打率.433,被BABIP.462,被出塁率.514,被長打率.600,K/BB0.67,K/95.40,BB/98.10,HR/91.35,GO/AO0.63,援護率-,IPR0.67,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
5.32,51.1%,-7.58,-0.89,-5.80,20,4.0,0,0,6.2,10,0,3,
