HQS率-,SQS率-,被打率.397,被BABIP.412,被出塁率.450,被長打率.479,K/BB0.67,K/92.04,BB/93.06,HR/90.51,GO/AO1.67,援護率-,IPR1.96,NHB%10.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.24,78.0%,-2.59,-0.30,-3.17,63,6.0,0,0,17.2,9,2,13,
