防御率4.58,試合19,先発0,救援19,連投(試)0,連投(日)0,勝利0,敗戦0,HLD1,Ｓ0,ＨＰ1,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
-,17.2,81,298,16.9,29,1,4,6,0,1,0,0,9,9,1.98,-
