HQS率-,SQS率-,被打率.282,被BABIP.364,被出塁率.313,被長打率.372,K/BB6.17,K/98.19,BB/91.33,HR/90.22,GO/AO0.70,援護率-,IPR3.13,NHB%29.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.71,76.6%,1.76,0.21,0.43,142,9.2,0,0,40.2,13,12,32,
