NOI615.6,GPA.337,RC59.42,RC279.06,XR56.96,XR278.69,RCAA31.57,XR+28.96,RCWIN3.72,XRWIN3.41,BABIP.327
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
1.00,0.090,8.88,8.88,0.271,16.73,0.402,1.086,1.88,27.6%,
