打率.327,試合69,打席293,打数251,得点38,安打82,内安5,内安率6.1,２Ｂ21,３Ｂ1,本塁15,HR勝敗9-3-0,塁打150,打点49,三振33
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
33,2,7,0,2,1,1,50.0,5,0,5,.303,.416,.598,1.014
