HQS率12.5%,SQS率12.5%,被打率.225,被BABIP.250,被出塁率.278,被長打率.375,K/BB2.78,K/96.62,BB/92.38,HR/90.93,GO/AO1.04,援護率3.78,IPR2.19,NHB%42.9%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.49,64.0%,-8.73,-1.01,-2.03,294,4.2,50,21,19.2,9,6,10,
