防御率3.31,試合22,先発8,救援14,連投(試)0,連投(日)0,勝利3,敗戦2,HLD5,Ｓ1,ＨＰ6,ＳＰ2,救勝1,救敗0,完投2,完封1,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.600,68.0,281,1093,16.1,57,7,50,18,0,2,0,0,34,25,1.10,50.0%
