NOI493.1,GPA.261,RC73.65,RC275.22,XR71.33,XR275.05,RCAA19.19,XR+16.58,RCWIN2.26,XRWIN1.95,BABIP.330
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.78,0.061,12.19,9.55,0.092,85.33,0.182,0.677,4.80,19.7%,
