アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,9,33.3%,安打,6,75.0%
フライ,10,37.0%,四死球,2,25.0%
空三振,6,22.2%,失策出塁,0,0.0%
見三振,2,7.4%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
