NOI299.3,GPA.156,RC1.48,RC271.48,XR1.59,XR271.59,RCAA-1.97,XR+-1.90,RCWIN-0.23,XRWIN-0.22,BABIP.240
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.047,17.50,4.38,0.030,-,0.121,0.370,0.00,28.6%,
