HQS率11.8%,SQS率11.8%,被打率.267,被BABIP.325,被出塁率.297,被長打率.357,K/BB5.46,K/97.23,BB/91.32,HR/90.31,GO/AO0.79,援護率3.15,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.11,65.5%,-7.93,-0.93,-8.83,325,0.0,100,35,0.0,0,0,0,
