条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,1,2,2,2,1,0,0,0,0,0,0,8
敗戦,10,5,3,4,1,4,0,0,0,0,0,0,27
勝敗無,0,0,0,2,3,0,0,0,0,0,0,0,5
