NOI301.1,GPA.164,RC3.27,RC271.42,XR3.42,XR271.49,RCAA-4.05,XR+-3.93,RCWIN-0.48,XRWIN-0.46,BABIP.277
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.04,0.021,77.00,2.85,0.093,75.00,0.107,0.371,0.00,37.7%,
