NOI315.5,GPA.164,RC1.02,RC271.10,XR1.07,XR271.15,RCAA-1.93,XR+-1.90,RCWIN-0.23,XRWIN-0.22,BABIP.263
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.056,15.50,3.88,0.037,-,0.111,0.348,-,32.3%,
