NOI391.1,GPA.203,RC10.10,RC272.90,XR10.99,XR273.16,RCAA-2.69,XR+-1.96,RCWIN-0.31,XRWIN-0.23,BABIP.278
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.45,0.098,9.29,4.19,0.065,-,0.204,0.523,0.00,34.6%,
