NOI164.3,GPA.083,RC-1.15,RC27-0.71,XR-0.78,XR27-0.48,RCAA-5.90,XR+-5.56,RCWIN-0.70,XRWIN-0.65,BABIP.167
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.11,0.040,25.00,2.63,0.000,-,0.047,0.154,-,42.0%,
