NOI381.0,GPA.200,RC0.55,RC272.95,XR0.53,XR272.88,RCAA-0.12,XR+-0.13,RCWIN-0.01,XRWIN-0.02,BABIP.400
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,3.50,0.000,-,0.000,0.400,-,28.6%,
