NOI454.7,GPA.246,RC21.23,RC274.94,XR21.56,XR275.02,RCAA4.69,XR+4.83,RCWIN0.54,XRWIN0.56,BABIP.269
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.53,0.089,8.84,4.67,0.192,36.50,0.342,0.737,4.00,35.1%,
