打率.248,試合53,打席161,打数141,得点14,安打35,内安5,内安率14.3,２Ｂ4,３Ｂ1,本塁0,HR勝敗0,塁打41,打点10,三振34
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
10,0,0,10,0,1,4,20.0,1,0,2,.364,.298,.291,.589
