左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
33.7% (35),33.7% (35),33.7% (35),20.2% (21),20.2% (21),20.2% (21),46.2% (48),46.2% (48),46.2% (48)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
25.7% (9),- (0),37.7% (26),31.4% (11),- (0),14.5% (10),42.9% (15),- (0),47.8% (33)
