打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,27,4,0.148,0,7,2,3,0,0.207
2打席目,29,9,0.31,0,4,1,2,0,0.333
3打席目,23,7,0.304,0,7,3,3,0,0.385
4打席目,22,6,0.273,0,5,1,1,0,0.304
5打席目以上,13,2,0.154,0,3,3,1,0,0.313
