打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
1番,.400,1,6,5,1,2,1,0,0,3,0,2,0,0,0,1,0,0,0,0,.400,.600,1.0
2番,.276,24,102,87,8,24,3,1,0,29,8,18,7,0,0,8,0,0,3,0,.330,.333,0.663
3番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
4番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
5番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
6番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
7番,.083,4,14,12,0,1,0,0,0,1,0,6,2,0,0,0,0,0,0,0,.214,.083,0.298
8番,.100,3,12,10,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,.182,.100,0.282
9番,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
