条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.286,129,119,34,5,1,3,31,8,0,2,0
対左投手,0.209,44,43,9,1,0,0,11,1,0,0,0
