NOI0.0,GPA.000,RC0.04,RC271.12,XR0.04,XR271.08,RCAA-0.06,XR+-0.06,RCWIN-0.01,XRWIN-0.01,BABIP-
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.000,-,-,-,-,0.0%,
