HQS率0.0%,SQS率0.0%,被打率.441,被BABIP.538,被出塁率.474,被長打率.559,K/BB4.00,K/910.29,BB/92.57,HR/91.29,GO/AO1.00,援護率6.00,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.59,60.2%,-5.40,-0.62,-5.64,21,0.0,6,4,0.0,0,0,0,
