球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,64,43.5%,148.8,4,10,15,21,45.3%,12.1%,.500,16,8,0,3,1,1
チェンジアップ,31,21.1%,135.0,5,1,4,18,32.3%,41.7%,.250,4,1,0,2,0,0
カットボール,23,15.6%,138.0,4,8,2,3,60.9%,33.3%,.250,8,2,0,2,1,0
スライダー,17,11.6%,131.2,4,3,1,7,47.1%,57.1%,.333,3,1,1,1,0,0
カーブ,11,7.5%,118.4,1,2,0,5,27.3%,25.0%,1.000,3,3,0,0,0,0
フォーク,1,0.7%,135.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
