防御率10.29,試合2,先発2,救援0,連投(試)0,連投(日)0,勝利0,敗戦1,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.000,7.0,39,147,21.0,15,1,8,2,0,1,0,0,8,8,2.43,0.0%
