打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Day,0.33,29,117,103,11,34,2,1,1,41,10,22,11,1,1,1,1,0,0,2,0.397,0.398,0.795
Nighter,0.283,54,226,198,21,56,6,0,3,71,23,34,24,1,1,1,2,1,1,2,0.36,0.359,0.719
