球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,638,43.4%,147.7,32,150,131,232,49.1%,12.5%,.369,111,41,3,20,26,2
スライダー,189,12.9%,130.1,15,39,31,67,45.0%,18.1%,.196,46,9,0,10,2,0
カットボール,140,9.5%,138.0,11,24,37,48,51.4%,16.2%,.160,25,4,0,6,1,0
フォーク,109,7.4%,136.1,11,19,21,33,46.8%,19.3%,.273,33,9,0,8,2,0
カーブ,104,7.1%,117.0,8,28,18,37,51.9%,20.5%,.188,16,3,0,3,0,0
チェンジアップ,87,5.9%,131.2,8,15,15,27,43.7%,17.8%,.385,26,10,1,4,0,0
ツーシーム,61,4.2%,143.6,2,9,12,27,37.7%,8.0%,.308,13,4,0,2,2,0
スプリット,48,3.3%,139.9,4,5,11,17,41.7%,15.4%,.455,11,5,0,0,0,0
シンカー,26,1.8%,134.6,0,4,5,9,34.6%,0.0%,.375,8,3,0,0,0,0
シュート,24,1.6%,141.1,2,8,5,7,62.5%,22.2%,.250,4,1,0,2,0,0
ナックルカーブ,17,1.2%,121.6,1,4,0,11,29.4%,50.0%,.000,2,0,0,1,0,0
縦スライダー,16,1.1%,131.4,0,4,4,5,50.0%,0.0%,.333,3,1,0,0,0,0
パワーカーブ,5,0.3%,121.8,0,0,1,3,20.0%,0.0%,-,0,0,0,0,0,0
スローカーブ,4,0.3%,85.8,0,1,1,0,50.0%,0.0%,.000,2,0,0,0,0,0
高速スライダー,1,0.1%,139.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
