NOI496.5,GPA.261,RC44.10,RC275.39,XR43.59,XR275.33,RCAA10.33,XR+9.43,RCWIN1.19,XRWIN1.09,BABIP.352
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.63,0.073,9.80,6.13,0.073,75.25,0.189,0.690,1.60,27.7%,
