HQS率0.0%,SQS率0.0%,被打率.292,被BABIP.325,被出塁率.312,被長打率.371,K/BB3.33,K/93.86,BB/91.16,HR/90.00,GO/AO0.66,援護率2.57,IPR2.11,NHB%20.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.30,72.4%,0.47,0.06,-0.29,80,3.0,21,6,6.1,3,1,3,
