HQS率-,SQS率-,被打率.224,被BABIP.301,被出塁率.289,被長打率.316,K/BB4.00,K/99.76,BB/92.44,HR/90.49,GO/AO0.98,援護率-,IPR5.53,NHB%41.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.07,90.1%,10.09,1.19,8.27,556,6.2,0,0,55.1,10,25,51,
